/*********************************************
 * OPL 12.8.0.0 Data
 * Author: �������
 * Creation Date: 08 ���. 2022 �. at 15:07:42
 *********************************************/
nbTeams = 22;
B=3;
Ub=4;
D=[
[0, 848, 4295, 1554, 4140, 463, 2278, 2267, 2942, 2252, 2094, 980, 1390, 2191, 580, 2600, 2742, 2267, 1141, 1864, 797, 2267]
[848, 0, 5066, 715, 4853, 948, 1432, 1420, 2095, 1405, 1248, 395, 559, 1355, 1399, 1774, 2080, 1420, 371, 1017, 188, 1420]
[4295, 5066, 0, 5770, 629, 4533, 6438, 6416, 7063, 6399, 6195, 5274, 5623, 6214, 3715, 6527, 7024, 6416, 5411, 6038, 5072, 6416]
[1554, 715, 5770, 0, 5536, 1556, 729, 723, 1394, 710, 599, 690, 169, 761, 2113, 1189, 1527, 723, 449, 324, 768, 723]
[4140, 4853, 629, 5536, 0, 4436, 6167, 6142, 6765, 6124, 5910, 5103, 5400, 5908, 3573, 6189, 6880, 6142, 5212, 5781, 4884, 6141]
[463, 948, 4533, 1556, 4436, 0, 2280, 2277, 2939, 2265, 2145, 880, 1388, 2277, 887, 2704, 2500, 2277, 1108, 1880, 811, 2277]
[2278, 1432, 6438, 729, 6167, 2280, 0, 41, 665, 56, 280, 1403, 898, 409, 2828, 652, 1347, 41, 1173, 415, 1498, 42]
[2267, 1420, 6416, 723, 6142, 2277, 41, 0, 675, 18, 245, 1402, 892, 368, 2814, 621, 1388, 0, 1169, 404, 1491, 1]
[2942, 2095, 7063, 1394, 6765, 2939, 665, 675, 0, 690, 872, 2060, 1562, 858, 3488, 690, 1482, 675, 1835, 1078, 2163, 675]
[2252, 1405, 6399, 710, 6124, 2265, 56, 18, 690, 0, 227, 1391, 879, 353, 2799, 618, 1400, 18, 1157, 390, 1477, 18]
[2094, 1248, 6195, 599, 5910, 2145, 280, 245, 872, 227, 0, 1288, 762, 201, 2626, 599, 1577, 245, 1044, 289, 1341, 244]
[980, 395, 5274, 690, 5103, 880, 1403, 1402, 2060, 1391, 1288, 0, 527, 1440, 1560, 1871, 1781, 1402, 249, 1012, 249, 1402]
[1390, 559, 5623, 169, 5400, 1388, 898, 892, 1562, 879, 762, 527, 0, 915, 1953, 1345, 1601, 892, 282, 492, 601, 892]
[2191, 1355, 6214, 761, 5908, 2277, 409, 368, 858, 353, 201, 1440, 915, 0, 2703, 430, 1750, 368, 1192, 476, 1467, 367]
[580, 1399, 3715, 2113, 3573, 887, 2828, 2814, 3488, 2799, 2626, 1560, 1953, 2703, 0, 3096, 3315, 2814, 1715, 2414, 1371, 2814]
[2600, 1774, 6527, 1189, 6189, 2704, 652, 621, 690, 618, 599, 1871, 1345, 430, 3096, 0, 1945, 621, 1622, 888, 1894, 620]
[2742, 2080, 7024, 1527, 6880, 2500, 1347, 1388, 1482, 1400, 1577, 1781, 1601, 1750, 3315, 1945, 0, 1388, 1709, 1461, 2012, 1388]
[2267, 1420, 6416, 723, 6142, 2277, 41, 0, 675, 18, 245, 1402, 892, 368, 2814, 621, 1388, 0, 1169, 404, 1491, 1]
[1141, 371, 5411, 449, 5212, 1108, 1173, 1169, 1835, 1157, 1044, 249, 282, 1192, 1715, 1622, 1709, 1169, 0, 773, 344, 1169]
[1864, 1017, 6038, 324, 5781, 1880, 415, 404, 1078, 390, 289, 1012, 492, 476, 2414, 888, 1461, 404, 773, 0, 1088, 404]
[797, 188, 5072, 768, 4884, 811, 1498, 1491, 2163, 1477, 1341, 249, 601, 1467, 1371, 1894, 2012, 1491, 344, 1088, 0, 1491]
[2267, 1420, 6416, 723, 6141, 2277, 42, 1, 675, 18, 244, 1402, 892, 367, 2814, 620, 1388, 1, 1169, 404, 1491, 0]
];
